foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
32,5982.0-532.0,166.52078064167867,520.5144539862896
34,5982.0-532.0,162.84963095702358,512.101275162734
36,5982.0-532.0,159.1784812723685,503.68809633917857
36,2972.0-292.0,168.31486185538984,519.9991593812579
38,5982.0-532.0,155.5073315877134,495.2749175156231
38,2972.0-292.0,166.16007418415626,511.0763903034342
40,5982.0-532.0,151.8361819030583,486.8617386920676
40,2972.0-292.0,164.00528651292268,502.15362122561055
40,6213.0-113.0,170.62872817863052,519.737725192669
42,5982.0-532.0,148.1650322184032,478.4485598685121
42,2972.0-292.0,161.8504988416891,493.2308521477869
42,6213.0-113.0,170.51008763034798,510.55922627702006
44,5982.0-532.0,144.49388253374812,470.03538104495664
44,2972.0-292.0,159.69571117045552,484.30808306996323
44,6213.0-113.0,170.39144708206544,501.3807273613711
44,7762.0-3912.0,202.13128854896914,550.3885420197488
44,8551.0-1532.0,170.12295530036957,519.7756921922486
46,5982.0-532.0,140.82273284909303,461.62220222140115
46,2972.0-292.0,157.54092349922195,475.3853139921396
46,6213.0-113.0,170.2728065337829,492.20222844572214
46,7762.0-3912.0,197.41880334359772,542.5112708479901
46,8551.0-1532.0,169.22082267353645,510.64086462694286
48,5982.0-532.0,137.15158316443794,453.20902339784567
48,2972.0-292.0,155.38613582798837,466.4625449143159
48,6213.0-113.0,170.15416598550036,483.0237295300732
48,7762.0-3912.0,192.7063181382263,534.6339996762314
48,8551.0-1532.0,168.3186900467033,501.50603706163713
48,7616.0-4572.0,203.24415249595512,549.8071273273438
48,7588.0-2816.0,167.0667735054235,520.7614170328336
50,5982.0-532.0,133.48043347978285,444.7958445742902
50,2972.0-292.0,153.2313481567548,457.53977583649225
50,6213.0-113.0,170.0355254372178,473.8452306144242
50,7762.0-3912.0,187.99383293285487,526.7567285044727
50,8551.0-1532.0,167.41655741987017,492.3712094963314
50,7616.0-4572.0,199.39637168270545,541.4732506341443
50,7588.0-2816.0,162.83073988335462,512.6180186588765
52,5982.0-532.0,129.80928379512775,436.3826657507347
52,2972.0-292.0,151.0765604855212,448.6170067586686
52,6213.0-113.0,169.91688488893527,464.66673169877527
52,7762.0-3912.0,183.28134772748345,518.879457332714
52,8551.0-1532.0,166.51442479303702,483.2363819310257
52,7616.0-4572.0,195.54859086945578,533.1393739409448
52,7588.0-2816.0,158.59470626128575,504.47462028491935
52,6586.0-2842.0,201.5260661948862,550.9129553200196
52,382.0-2828.0,171.70282801504283,519.7206601942771
54,5982.0-532.0,126.13813411047265,427.9694869271792
54,2972.0-292.0,148.92177281428764,439.69423768084494
54,6213.0-113.0,169.79824434065273,455.4882327831263
54,7762.0-3912.0,178.56886252211203,511.0021861609552
54,8551.0-1532.0,165.61229216620387,474.10155436571995
54,7616.0-4572.0,191.7008100562061,524.8054972477453
54,7588.0-2816.0,154.35867263921688,496.3312219109622
54,6586.0-2842.0,195.71203952570337,543.8097157904601
54,382.0-2828.0,171.82512970230363,510.54220933252714
56,5982.0-532.0,122.46698442581754,419.55630810362373
56,2972.0-292.0,146.76698514305406,430.7714686030213
56,6213.0-113.0,169.6796037923702,446.30973386747735
56,7762.0-3912.0,173.8563773167406,503.1249149891965
56,8551.0-1532.0,164.71015953937075,464.9667268004142
56,7616.0-4572.0,187.85302924295644,516.4716205545458
56,7588.0-2816.0,150.122639017148,488.18782353700504
56,6586.0-2842.0,189.89801285652055,536.7064762609007
56,382.0-2828.0,171.94743138956443,501.36375847077716
56,2018.0-3491.0,204.80080905764785,549.1455822602952
56,6589.0-916.0,166.97695810953562,521.1196076943611
58,5982.0-532.0,118.79583474116244,411.14312928006825
58,2972.0-292.0,144.61219747182048,421.8486995251976
58,6213.0-113.0,169.56096324408765,437.1312349518284
58,7762.0-3912.0,169.14389211136918,495.24764381743773
58,8551.0-1532.0,163.8080269125376,455.8318992351085
58,7616.0-4572.0,184.00524842970677,508.1377438613463
58,7588.0-2816.0,145.88660539507913,480.0444251630479
58,6586.0-2842.0,184.08398618733773,529.6032367313412
58,382.0-2828.0,172.06973307682523,492.1853076090272
58,2018.0-3491.0,202.01336569636246,540.3997788419756
58,6589.0-916.0,162.09567069099955,513.3458086834587
60,5982.0-532.0,115.12468505650733,402.72995045651277
60,2972.0-292.0,142.4574098005869,412.92593044737396
60,6213.0-113.0,169.4423226958051,427.95273603617943
60,7762.0-3912.0,164.43140690599776,487.370372645679
60,8551.0-1532.0,162.90589428570448,446.69707166980277
60,7616.0-4572.0,180.1574676164571,499.8038671681468
60,7588.0-2816.0,141.65057177301026,471.90102678909074
60,6586.0-2842.0,178.2699595181549,522.4999972017818
60,382.0-2828.0,172.19203476408603,483.0068567472772
60,2018.0-3491.0,199.22592233507706,531.653975423656
60,6589.0-916.0,157.2143832724635,505.57200967255625
60,9522.0-4450.0,205.5165856090165,548.8852858603667
60,7974.0-3062.0,169.597077812171,520.0665362665576
62,5982.0-532.0,111.45353537185223,394.3167716329573
62,2972.0-292.0,140.30262212935332,404.0031613695503
62,6213.0-113.0,169.32368214752256,418.7742371205305
62,7762.0-3912.0,159.71892170062634,479.4931014739203
62,8551.0-1532.0,162.00376165887133,437.56224410449704
62,7616.0-4572.0,176.30968680320743,491.4699904749473
62,7588.0-2816.0,137.41453815094138,463.7576284151336
62,6586.0-2842.0,172.45593284897208,515.3967576722223
62,382.0-2828.0,172.31433645134683,473.8284058855272
62,2018.0-3491.0,196.43847897379166,522.9081720053364
62,6589.0-916.0,152.33309585392743,497.7982106616538
62,9522.0-4450.0,203.1967592442355,540.0039952130828
62,7974.0-3062.0,167.05819089598066,511.2453701786153
64,5982.0-532.0,107.78238568719712,385.9035928094018
64,2972.0-292.0,138.14783445811975,395.08039229172664
64,6213.0-113.0,169.20504159924002,409.5957382048815
64,7762.0-3912.0,155.00643649525492,471.6158303021616
64,8551.0-1532.0,161.1016290320382,428.4274165391913
64,7616.0-4572.0,172.46190598995776,483.1361137817478
64,7588.0-2816.0,133.1785045288725,455.6142300411764
64,6586.0-2842.0,166.64190617978926,508.2935181426628
64,382.0-2828.0,172.43663813860763,464.64995502377724
64,2018.0-3491.0,193.65103561250626,514.1623685870168
64,6589.0-916.0,147.45180843539137,490.02441165075135
64,9522.0-4450.0,200.8769328794545,531.1227045657989
64,7974.0-3062.0,164.51930397979032,502.424204090673
64,9936.0-4094.0,203.08071957497793,549.9462892131465
64,5557.0-3147.0,170.42965874991958,519.9197124685379
