foe_ssm_time,foe_ssm_id,foe_ssm_x,foe_ssm_y
12,1270.0-1848.0,204.16155814867366,556.4107993955406
12,1729.0-2833.0,168.3599723820763,526.0524425629452
14,1270.0-1848.0,203.4646189819206,553.5573122318599
14,1729.0-2833.0,167.91661043926712,523.1487305622272
16,1270.0-1848.0,202.76767981516755,550.7038250681792
16,1729.0-2833.0,167.47324849645793,520.2450185615093
16,6043.0-516.0,204.38334011020441,556.2925622051118
16,5140.0-4344.0,168.50309033327218,526.0705072023089
18,1270.0-1848.0,202.0707406484145,547.8503379044985
18,1729.0-2833.0,167.02988655364874,517.3413065607913
18,6043.0-516.0,203.66002335011788,553.4456470219666
18,5140.0-4344.0,167.92512714136922,523.1905641917183
20,1270.0-1848.0,201.37380148166145,544.9968507408178
20,1729.0-2833.0,166.58652461083955,514.4375945600733
20,6043.0-516.0,202.93670659003135,550.5987318388213
20,5140.0-4344.0,167.34716394946625,520.3106211811277
20,8024.0-4728.0,204.37711831448107,556.244791035931
20,7203.0-4518.0,168.6894844546795,526.0846468418162
22,1270.0-1848.0,200.6768623149084,542.143363577137
22,1729.0-2833.0,166.14316266803036,511.5338825593554
22,6043.0-516.0,202.21338982994482,547.7518166556761
22,5140.0-4344.0,166.76920075756328,517.430678170537
22,8024.0-4728.0,203.39942020380695,553.4749138545692
22,7203.0-4518.0,168.0201961838942,523.2245478214963
24,1270.0-1848.0,199.97992314815534,539.2898764134563
24,1729.0-2833.0,165.69980072522117,508.6301705586375
24,6043.0-516.0,201.49007306985828,544.9049014725308
24,5140.0-4344.0,166.19123756566032,514.5507351599464
24,8024.0-4728.0,202.42172209313284,550.7050366732074
24,7203.0-4518.0,167.3509079131089,520.3644488011765
24,9790.0-4406.0,204.75526196781829,556.0774767556429
24,2776.0-1283.0,168.8841926419273,526.0996473888529
26,1270.0-1848.0,199.28298398140228,536.4363892497756
26,1729.0-2833.0,165.25643878241198,505.72645855791956
26,6043.0-516.0,200.76675630977175,542.0579862893856
26,5140.0-4344.0,165.61327437375735,511.6707921493557
26,8024.0-4728.0,201.44402398245873,547.9351594918455
26,7203.0-4518.0,166.6816196423236,517.5043497808567
26,9790.0-4406.0,203.90754795561716,553.2650944649572
26,2776.0-1283.0,168.13189335810017,523.2602532663334
28,1270.0-1848.0,198.58604481464923,533.5829020860949
28,1729.0-2833.0,164.8130768396028,502.82274655720164
28,6043.0-516.0,200.04343954968522,539.2110711062403
28,5140.0-4344.0,165.03531118185438,508.790849138765
28,8024.0-4728.0,200.46632587178462,545.1652823104837
28,7203.0-4518.0,166.0123313715383,514.6442507605369
28,9790.0-4406.0,203.05983394341604,550.4527121742715
28,2776.0-1283.0,167.37959407427303,520.4208591438139
28,6277.0-4652.0,205.05254106273767,555.9383273802293
28,6997.0-4508.0,169.2174884030403,526.0797971411425
30,1270.0-1848.0,197.88910564789617,530.7294149224142
30,1729.0-2833.0,164.3697148967936,499.9190345564837
30,6043.0-516.0,199.32012278959868,536.364155923095
30,5140.0-4344.0,164.45734798995142,505.9109061281743
30,8024.0-4728.0,199.4886277611105,542.3954051291219
30,7203.0-4518.0,165.343043100753,511.78415174021717
30,9790.0-4406.0,202.21211993121491,547.6403298835858
30,2776.0-1283.0,166.6272947904459,517.5814650212944
30,6277.0-4652.0,204.2539465905917,553.1116048850943
30,6997.0-4508.0,168.5207656800365,523.2262571216763
32,1270.0-1848.0,197.19216648114312,527.8759277587335
32,1729.0-2833.0,163.9263529539844,497.0153225557658
32,6043.0-516.0,198.59680602951215,533.5172407399498
32,5140.0-4344.0,163.87938479804845,503.0309631175836
32,8024.0-4728.0,198.5109296504364,539.62552794776
32,7203.0-4518.0,164.6737548299677,508.9240527198974
32,9790.0-4406.0,201.3644059190138,544.8279475929
32,2776.0-1283.0,165.87499550661875,514.742070898775
32,6277.0-4652.0,203.45535211844575,550.2848823899592
32,6997.0-4508.0,167.8240429570327,520.3727171022101
32,7248.0-3583.0,205.27920928853948,555.8196782650805
32,9837.0-3205.0,169.64114535696234,526.042368677576
34,1270.0-1848.0,196.49522731439006,525.0224405950528
34,1729.0-2833.0,163.48299101117522,494.1116105550479
34,6043.0-516.0,197.87348926942562,530.6703255568045
34,5140.0-4344.0,163.30142160614548,500.1510201069929
34,8024.0-4728.0,197.53323153976228,536.8556507663982
34,7203.0-4518.0,164.0044665591824,506.06395369957767
34,9790.0-4406.0,200.51669190681267,542.0155653022143
34,2776.0-1283.0,165.1226962227916,511.90267677625553
34,6277.0-4652.0,202.65675764629978,547.4581598948241
34,6997.0-4508.0,167.1273202340289,517.5191770827439
34,7248.0-3583.0,204.45912348733108,552.9991158257608
34,9837.0-3205.0,169.09036038759092,523.1571045453068
36,1270.0-1848.0,195.798288147637,522.1689534313721
36,1729.0-2833.0,163.03962906836603,491.20789855433
36,6043.0-516.0,197.1501725093391,527.8234103736593
36,5140.0-4344.0,162.72345841424251,497.2710770964022
36,8024.0-4728.0,196.55553342908817,534.0857735850363
36,7203.0-4518.0,163.3351782883971,503.2038546792579
36,9790.0-4406.0,199.66897789461154,539.2031830115286
36,2776.0-1283.0,164.37039693896446,509.0632826537361
36,6277.0-4652.0,201.85816317415382,544.631437399689
36,6997.0-4508.0,166.4305975110251,514.6656370632777
36,7248.0-3583.0,203.6390376861227,550.1785533864411
36,9837.0-3205.0,168.5395754182195,520.2718404130376
36,411.0-2197.0,205.50031740420695,555.7028754555304
38,1270.0-1848.0,195.10134898088396,519.3154662676914
38,1729.0-2833.0,162.59626712555684,488.30418655361206
