fri_ssm_time,fri_ssm_id,fri_ssm_x,fri_ssm_y
16,8192.0-286.0,37.26973942128226,64.74157379316925
18,8192.0-286.0,38.26109615546023,67.50659188009831
20,8192.0-286.0,39.2524528896382,70.27160996702737
22,8192.0-286.0,40.24380962381617,73.03662805395643
24,8192.0-286.0,41.23516635799414,75.8016461408855
24,6694.0-3836.0,37.643996419023374,64.6152495544285
26,8192.0-286.0,42.22652309217211,78.56666422781456
26,6694.0-3836.0,38.48279085826912,67.43030498623358
28,8192.0-286.0,43.21787982635008,81.33168231474362
28,6694.0-3836.0,39.321585297514865,70.24536041803866
30,8192.0-286.0,44.20923656052805,84.09670040167268
30,6694.0-3836.0,40.16037973676061,73.06041584984374
32,8192.0-286.0,45.20059329470602,86.86171848860174
32,6694.0-3836.0,40.999174176006356,75.87547128164881
34,8192.0-286.0,46.19195002888399,89.6267365755308
34,6694.0-3836.0,41.8379686152521,78.69052671345389
36,8192.0-286.0,47.18330676306196,92.39175466245986
36,6694.0-3836.0,42.67676305449785,81.50558214525897
38,8192.0-286.0,48.174663497239926,95.15677274938892
38,6694.0-3836.0,43.51555749374359,84.32063757706405
40,8192.0-286.0,49.166020231417896,97.92179083631798
40,6694.0-3836.0,44.35435193298934,87.13569300886913
42,8192.0-286.0,50.157376965595866,100.68680892324704
42,6694.0-3836.0,45.193146372235084,89.9507484406742
44,8192.0-286.0,51.148733699773835,103.4518270101761
44,6694.0-3836.0,46.03194081148083,92.76580387247928
46,8192.0-286.0,52.140090433951805,106.21684509710516
46,6694.0-3836.0,46.870735250726575,95.58085930428436
48,8192.0-286.0,53.131447168129775,108.98186318403422
48,6694.0-3836.0,47.70952968997232,98.39591473608944
50,8192.0-286.0,54.122803902307744,111.74688127096329
50,6694.0-3836.0,48.54832412921807,101.21097016789452
52,8192.0-286.0,55.114160636485714,114.51189935789235
52,6694.0-3836.0,49.38711856846381,104.0260255996996
54,8192.0-286.0,56.105517370663684,117.27691744482141
54,6694.0-3836.0,50.22591300770956,106.84108103150467
56,8192.0-286.0,57.09687410484165,120.04193553175047
56,6694.0-3836.0,51.0647074469553,109.65613646330975
58,8192.0-286.0,58.08823083901962,122.80695361867953
58,6694.0-3836.0,51.90350188620105,112.47119189511483
60,8192.0-286.0,59.07958757319759,125.57197170560859
60,6694.0-3836.0,52.742296325446794,115.2862473269199
60,7081.0-3984.0,40.264947042272304,63.734581903460885
62,8192.0-286.0,60.07094430737556,128.33698979253765
62,6694.0-3836.0,53.58109076469254,118.10130275872498
62,7081.0-3984.0,41.35400528773696,66.4625968105738
64,8192.0-286.0,61.06230104155353,131.1020078794667
64,6694.0-3836.0,54.419885203938286,120.91635819053006
64,7081.0-3984.0,42.44306353320162,69.1906117176867
64,5578.0-4829.0,40.31051457355432,63.72357704467119
66,8192.0-286.0,62.0536577757315,133.86702596639574
66,6694.0-3836.0,55.25867964318403,123.73141362233514
66,7081.0-3984.0,43.53212177866627,71.91862662479961
66,5578.0-4829.0,41.18173070396433,66.52876788480279
68,8192.0-286.0,63.04501450990947,136.6320440533248
68,6694.0-3836.0,56.09747408242978,126.54646905414022
68,7081.0-3984.0,44.62118002413093,74.64664153191252
68,5578.0-4829.0,42.05294683437433,69.33395872493439
70,8192.0-286.0,64.03637124408745,139.39706214025384
70,6694.0-3836.0,56.93626852167552,129.3615244859453
70,7081.0-3984.0,45.710238269595585,77.37465643902543
70,5578.0-4829.0,42.92416296478434,72.13914956506599
72,8192.0-286.0,65.02772797826542,142.16208022718288
72,6694.0-3836.0,57.77506296092127,132.17657991775036
72,7081.0-3984.0,46.79929651506024,80.10267134613834
72,5578.0-4829.0,43.79537909519434,74.9443404051976
